Date,WIP,,Date,,,,date,all_wpd,,Date,,,Date,WIP,MOVE,,Date,WIP,MOVE
2022/8/14,375,,2022/1/20,,,,2022/5/21,5401,,2022/1/20,,,2022/2/11,0,9195,,2022/2/11,10611,9195
2022/8/14,841,,2022/1/21,,,,2021/11/21,0,,2022/1/21,,,2022/2/12,13268,10975,,2022/2/12,13268,10975
2022/8/14,1244,,2022/1/22,,,,2021/11/21,3816,,2022/1/22,,,2022/2/13,0,0,,2022/2/13,13268,10975
2022/8/14,882,,2022/1/23,,,,2021/10/26,5395,,2022/1/23,,,2022/2/14,19906,0,,2022/2/14,19906,10975
2022/8/14,0,,2022/1/24,,,,2021/10/30,4677,,2022/1/24,,,2022/2/15,0,5535,,2022/2/15,19906,5535
2022/8/14,346,,2022/1/25,,,,2021/10/30,4926,,2022/1/25,,,2022/2/16,8997,0,,2022/2/16,8997,5535
2022/8/14,91,,2022/1/26,,,,2021/10/30,5184,,2022/1/26,,,2022/2/17,20022,8040,,2022/2/17,20022,8040
2022/8/14,466,,2022/1/27,,,,2021/10/30,5494,,2022/1/27,,,2022/2/18,12099,15141,,2022/2/18,12099,15141
2021/9/18,1623,,2022/1/28,,,,2022/4/17,5578,,2022/1/28,,,2022/2/19,11479,25757,,2022/2/19,11479,25757
2021/9/18,75,,2022/1/29,,,,2022/4/17,6076,,2022/1/29,,,2022/2/20,1622,0,,2022/2/20,1622,25757
2021/9/18,0,,2022/1/30,,,,2022/4/17,4819,,2022/1/30,,,2022/2/21,29620,9017,,2022/2/21,29620,9017
2021/9/18,811,,2022/1/31,,,,2022/2/6,5301,,2022/1/31,,,2022/2/22,24782,10167,,2022/2/22,24782,10167
2021/9/18,491,,2022/2/1,,,,2021/9/6,2844,,2022/2/1,,,2022/2/23,6902,0,,2022/2/23,6902,10167
2021/9/18,388,,2022/2/2,,,,2021/9/6,5878,,2022/2/2,,,2022/2/24,6077,0,,2022/2/24,6077,10167
2021/9/18,671,,2022/2/3,,,,2021/9/6,5696,,2022/2/3,,,2022/2/25,7851,13110,,2022/2/25,7851,13110
2021/9/18,892,,2022/2/4,,,,2021/9/6,0,,2022/2/4,,,2022/2/26,4982,13040,,2022/2/26,4982,13040
2021/9/18,196,,2022/2/5,,,,2021/9/13,5500,,2022/2/5,,,2022/2/27,13507,0,,2022/2/27,13507,13040
2021/9/18,125,,2022/2/6,,,,2021/9/13,4686,,2022/2/6,,,2022/2/28,41881,0,,2022/2/28,41881,13040
2022/1/15,97,,2022/2/7,,,,2021/9/5,0,,2022/2/7,,,2022/3/1,15580,0,,2022/3/1,15580,13040
