Date,WorkstationGroupName,ProdWIP,OMTWIP,,,date,ws_group,all_wpd
2021-09-18,16-PH_193NM_NXT1980,0,0,,,2022-04-01,16-PH_193NM_NXT1980,5323
2021-09-18,16-PH_193NM_NXT1980,0,0,,,2022-04-01,16-PH_193NM_NXT1980,6067
2021-09-18,16-PH_193NM_NXT1980,0,0,,,2022-04-01,16-PH_193NM_NXT1980,5418
2021-09-18,16-PH_193NM_NXT2000,75,0,,,2022-04-01,16-PH_193NM_NXT1980,5384
2021-09-18,16-PH_193NM_XT,0,0,,,2022-04-01,16-PH_193NM_NXT2000,4530
2021-12-18,16-PH_193NM_XT,525,0,,,2022-04-01,16-PH_193NM_NXT2000,6019
2021-12-18,16-PH_193NM_NXT1980,0,0,,,2022-04-01,16-PH_193NM_NXT2000,5711
2021-12-18,16-PH_193NM_NXT2000,0,0,,,2022-04-01,16-PH_193NM_NXT2000,5184
2021-12-18,16-PH_193NM_NXT1980,50,0,,,2022-04-01,16-PH_193NM_NXT2000,5390
2021-12-18,16-PH_193NM_NXT1980,0,0,,,2022-04-01,16-PH_193NM_NXT2000,4171
2021-12-18,16-PH_193NM_NXT2000,0,0,,,2022-04-01,16-PH_193NM_XT,2828
2021-12-18,16-PH_193NM_NXT2000,0,0,,,2022-04-01,16-PH_193NM_XT,3104
2021-12-18,16-PH_193NM_NXT1980,561,0,,,2022-04-01,16-PH_193NM_XT,2146
2021-12-18,16-PH_193NM_NXT2000,600,0,,,2022-04-01,16-PH_193NM_XT,2589
2021-12-18,16-PH_193NM_NXT1980,170,0,,,2022-04-01,16-PH_193NM_XT,1510
2021-12-18,16-PH_193NM_NXT1980,25,0,,,2022-04-01,16-PH_193NM_XT,3536
2021-12-18,16-PH_193NM_NXT1980,0,0,,,2022-04-01,16-PH_193NM_XT,3040
2021-12-18,16-PH_193NM_NXT2000,0,0,,,2022-04-01,16-PH_193NM_XT,2873
2021-12-18,16-PH_193NM_XT,273,805,,,2022-04-01,16-PH_193NM_XT,0
2021-12-18,16-PH_193NM_NXT1980,0,0,,,2021-10-22,16-PH_193NM_NXT1980,4397
2021-12-18,16-PH_193NM_NXT2000,96,0,,,2021-10-22,16-PH_193NM_NXT1980,275
2021-12-18,16-PH_193NM_NXT2000,0,0,,,2021-10-22,16-PH_193NM_NXT1980,3879
2021-12-18,16-PH_193NM_NXT2000,475,0,,,2021-10-22,16-PH_193NM_NXT1980,4992
2022-07-03,16-PH_193NM_NXT1980,46,0,,,2021-10-22,16-PH_193NM_NXT1980,5398
2022-07-03,16-PH_193NM_NXT1980,25,0,,,2021-10-22,16-PH_193NM_NXT1980,5719
2022-07-03,16-PH_193NM_NXT1980,0,0,,,2021-10-22,16-PH_193NM_NXT1980,6132
2022-07-03,16-PH_193NM_NXT1980,0,0,,,2021-10-22,16-PH_193NM_NXT1980,4615
2022-07-03,16-PH_193NM_NXT2000,91,0,,,2021-10-22,16-PH_193NM_NXT2000,5259
2022-07-03,16-PH_193NM_XT,0,0,,,2021-10-22,16-PH_193NM_NXT2000,5953
2022-07-03,16-PH_193NM_NXT1980,200,0,,,2021-10-22,16-PH_193NM_NXT2000,4782
2022-07-03,16-PH_193NM_NXT1980,1224,0,,,2021-10-22,16-PH_193NM_NXT2000,5835
2022-07-03,16-PH_193NM_NXT2000,23,0,,,2021-10-22,16-PH_193NM_NXT2000,6158
2022-07-03,16-PH_193NM_XT,0,0,,,2021-10-22,16-PH_193NM_XT,2855
2022-07-03,16-PH_193NM_XT,175,0,,,2021-10-22,16-PH_193NM_XT,2445
2022-07-03,16-PH_193NM_XT,0,0,,,2021-10-22,16-PH_193NM_XT,2924
2022-07-03,16-PH_193NM_NXT1980,925,0,,,2021-10-22,16-PH_193NM_XT,1386
2022-07-03,16-PH_193NM_NXT1980,100,0,,,2021-10-22,16-PH_193NM_XT,2440
2021-09-15,16-PH_193NM_NXT1980,50,0,,,2021-10-22,16-PH_193NM_XT,4275
2021-09-15,16-PH_193NM_NXT1980,250,0,,,2021-10-22,16-PH_193NM_XT,2591
2021-09-15,16-PH_193NM_NXT1980,100,0,,,2022-01-13,16-PH_193NM_NXT1980,5439
2021-09-15,16-PH_193NM_NXT1980,887,0,,,2022-01-13,16-PH_193NM_NXT1980,5164
2021-09-15,16-PH_193NM_NXT1980,1076,0,,,2022-01-13,16-PH_193NM_NXT1980,3162
2021-09-15,16-PH_193NM_NXT2000,0,0,,,2022-01-13,16-PH_193NM_NXT1980,3405
2021-09-15,16-PH_193NM_NXT1980,1071,1132,,,2022-01-13,16-PH_193NM_NXT1980,1470
