Date,WIP,,,WIP,,date,all_wpd,,,MOVE,,DATE,WIP,MOVE
2022/6/12,125,,2022/4/12,2593,,2021/11/26,3116,,2022/4/11,7281,,2022/4/11,0,7281
2022/6/12,0,,2022/4/13,2037,,2021/11/26,3113,,2022/4/12,11608,,2022/4/12,2593,11608
2022/6/12,252,,2022/4/14,9379,,2021/11/26,2887,,2022/4/13,14488,,2022/4/13,2037,14488
2022/5/27,25,,2022/4/15,3428,,2021/11/26,2005,,2022/4/14,13507,,2022/4/14,9379,13507
2022/5/27,25,,2022/4/16,0,,2022/5/23,3105,,2022/4/15,7702,,2022/4/15,3428,7702
2022/5/27,0,,2022/4/17,8173,,2022/5/23,2517,,2022/4/16,11689,,2022/4/16,0,11689
2021/10/15,175,,2022/4/18,5964,,2021/9/30,3224,,2022/4/17,14900,,2022/4/17,8173,14900
2022/3/9,0,,2022/4/19,5529,,2021/9/30,2582,,2022/4/18,10262,,2022/4/18,5964,10262
2022/3/9,0,,2022/4/20,5058,,2021/9/30,2935,,2022/4/19,14856,,2022/4/19,5529,14856
2022/3/9,0,,2022/4/21,10667,,2021/9/30,3402,,2022/4/20,10664,,2022/4/20,5058,10664
2022/5/2,0,,2022/4/22,3315,,2021/8/22,2764,,2022/4/21,15699,,2022/4/21,10667,15699
2022/5/2,0,,2022/4/23,7404,,2021/8/22,3135,,2022/4/22,9276,,2022/4/22,3315,9276
2022/5/2,25,,2022/4/24,1856,,2022/5/13,2658,,2022/4/23,13994,,2022/4/23,7404,13994
2022/6/12,75,,2022/4/25,0,,2022/5/13,2982,,2022/4/24,15021,,2022/4/24,1856,15021
2022/6/12,0,,2022/4/26,0,,2022/5/13,2963,,2022/4/25,5026,,2022/4/25,0,5026
2022/5/27,112,,2022/4/27,4384,,2022/5/13,74,,2022/4/26,9289,,2022/4/26,0,9289
